,sample,sample_base_original,sample_plus1,sample_squared,sample_base_new,sample_sqrt
0,1.0,1.0,2.0,1.0,1.0,1.0
1,2.0,2.0,3.0,4.0,2.0,1.4142135623730951
2,2.3,2.0,3.3,5.289999999999999,2.0,1.51657508881031
3,2.4,2.0,3.4,5.76,2.0,1.5491933384829668
4,3.1,3.0,4.1,9.610000000000001,3.0,1.760681686165901
5,4.4,4.0,5.4,19.360000000000003,4.0,2.0976176963403033
6,4.5,4.0,5.5,20.25,4.0,2.1213203435596424
7,5.9,5.0,6.9,34.81,5.0,2.4289915602982237
8,8.7,8.0,9.7,75.68999999999998,8.0,2.949576240750525
9,8.8,8.0,9.8,77.44000000000001,8.0,2.9664793948382653
10,9.1,9.0,10.1,82.80999999999999,9.0,3.0166206257996713
